A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,Y
1.95173,115.151,27.2738,72.2082,109.967,0.554759,66.9948,75.0693,38.0022,25.4906,28.8293,15.3501,4.46017,5.14606,30.5239,105.045,13.8119,2.49918,0.799755,184.22,170.408,121.412,0.943158,250.332,283.687,33.3552,146.712,118.016,507.238,-0.344942,174.525,184.83,16.4762,28.9995,126.726,176.627,249.732,245.148,22.9002,-0.983688,254.262,25.1997,25.2948,107.429,260.859,558.691,683.693,19.9983,2801.03,8.84598,45.3797,114.402,1.61773,110.061
1.97996,115.486,27.0532,72.2082,109.967,0.555243,66.9933,75.0509,37.9651,25.7151,28.566,15.4851,4.63698,5.20061,30.5083,105.395,14.1132,2.5563,0.815662,184.558,170.482,122.128,0.90982,250.367,282.226,31.859,146.737,118.721,506.002,-0.346779,174.638,185.222,16.5166,28.9938,127.626,176.796,249.795,244.736,23.4831,-0.983681,254.234,26.8132,25.2948,120.007,260.112,556.275,573.348,20.0167,2840.81,8.84598,47.3984,124.647,3.46919,109.959
2.02079,115.316,27.0514,72.2082,110.079,0.552424,67.0509,75.0693,37.9835,25.601,28.7051,15.527,4.62782,5.21425,30.4919,105.417,13.5866,2.55567,0.773609,184.18,170.594,122.019,0.915257,249.318,280.765,31.4466,145.776,119.954,507.002,-0.34495,174.469,184.825,16.5736,28.9886,126.937,176.647,249.926,245.343,21.7427,-0.985094,253.25,25.1435,25.2948,107.091,258.61,551.28,587.005,20.017,2839.77,8.95819,44.3114,112.848,0.314381,110.014
2.0012,115.338,27.3179,72.2082,109.967,0.553884,66.9384,75.0521,37.9835,25.7151,28.6892,15.3527,4.22856,5.13912,30.4841,105.889,13.8899,2.32195,0.771807,184.034,170.144,122.374,0.943407,248.572,278.37,29.7988,147.485,118.931,506.487,-0.344958,174.329,184.744,16.5724,28.9968,127.453,176.414,249.73,244.647,22.0361,-0.98462,252.183,24.5347,25.292,102.485,257.1,566.853,680.226,19.9422,2839.42,8.95819,50.4884,107.954,0.641593,110.014
2.0236,115.192,27.0411,72.2082,109.967,0.554345,66.9942,75.1441,37.9835,25.7151,28.3572,15.492,4.54887,5.17657,30.4685,105.393,14.1126,2.53545,0.775582,184.333,170.22,121.06,0.988023,247.639,278.627,30.988,148.806,118.766,506.403,-0.345876,174.385,184.997,16.5745,28.9992,126.772,176.477,249.404,244.666,23.014,-0.983214,251.062,30.7675,25.292,145.825,255.561,557.082,575.577,20.0445,2830.4,8.95819,46.7822,148.394,0.05894,109.998
2.02063,115.62,27.2952,72.2082,109.967,0.550589,67.0887,75.0521,37.9835,25.4906,28.7328,15.257,4.63677,5.18402,30.4924,105.435,13.8181,2.57263,0.760995,183.999,170.144,122.858,0.950987,246.813,281.53,34.7553,147.926,118.972,506.559,-0.345853,174.189,184.691,16.517,28.9804,127.726,176.201,248.926,243.407,22.1228,-0.984162,250.221,31.2687,25.292,149.852,256.155,601.724,595.362,19.9791,2840.47,8.95819,52.3942,152.027,0,109.959
1.99856,115.264,27.228,72.22,109.967,0.559921,66.9947,75.0509,37.9835,25.6028,28.6049,15.444,4.42498,5.17298,30.492,105.352,14.2605,2.47517,0.74285,184.369,170.109,122.106,1.01039,248.163,281.924,33.7614,148.346,118.637,507.152,-0.344926,174.469,185.052,16.4762,28.975,126.931,176.71,248.579,242.61,22.4029,-0.984613,251.878,29.4069,25.292,137.466,258.852,565.727,650.17,20.0266,2831.08,9.06853,48.1532,141.114,0,110.061
2.02636,115.489,27.1529,72.2777,110.079,0.55333,66.9942,74.957,37.9835,25.6028,28.5226,15.3677,4.60582,5.2243,30.5158,105.352,14.2642,2.53355,0.784686,184.708,170.444,121.738,0.920912,249.247,284.505,35.2575,148.355,119.353,505.814,-0.346795,174.443,185.391,16.6016,28.9751,128.084,176.605,248.297,242.847,24.123,-0.981832,252.077,27.7793,25.2893,126.787,259.685,557.978,572.129,20.0073,2825.47,9.05201,51.202,132.141,0,109.959
2.01522,115.467,27.3591,72.2544,109.967,0.558078,66.9679,74.9567,38.0022,25.4158,28.8431,15.4992,4.25499,5.14877,30.4842,105.351,14.0758,2.37993,0.741887,184.371,170.295,123.584,0.939616,248.873,281.026,32.1535,145.888,119.491,504.61,-0.34864,174.553,185.054,16.4618,29.0022,127.415,176.753,248.361,242.435,21.4291,-0.985552,252.885,26.1722,25.2893,114.608,259.305,554.978,627.502,19.9797,2827.72,9.0704,51.3208,120.377,0,109.999
2.00764,115.394,27.0853,72.2312,109.949,0.554345,67.0901,75.1441,37.9838,25.6047,28.621,15.2824,4.66046,5.2284,30.4841,105.353,13.9242,2.58966,0.822373,184.444,170.519,121.271,0.838918,248.833,279.794,30.9599,147.863,120.082,507.753,-0.344475,174.582,185.051,16.5586,29.0049,127.546,176.712,248.319,242.566,22.7358,-0.983681,251.96,26.8146,25.2893,120.784,257.13,561.492,572.495,20.0073,2850.33,9.0517,49.3681,125.514,0,109.991
